talk_id,related_id
0,865
0,1738
0,2276
0,892
0,1232
0,2616
1,243
1,547
1,2093
1,2784
1,2339
1,2331
2,1725
2,2274
2,172
2,2664
2,436
2,1546
3,1041
3,1892
3,2078
3,2873
3,2840
3,2839
4,2056
4,2296
4,620
4,974
4,140
4,912
5,229
5,70
5,97
5,1094
5,2861
5,2279
6,22
6,94
6,856
6,112
6,71
6,308
7,750
7,2092
7,2183
7,359
7,231
7,31
8,71
8,2011
8,234
8,113
8,301
8,1327
9,94
9,676
9,2011
9,301
9,86
9,308
10,1749
10,2183
10,31
10,646
10,2532
10,266
11,2228
11,1476
11,800
11,403
11,170
11,282
12,1153
12,869
12,1905
12,529
12,177
12,2185
13,685
13,872
13,1984
13,2410
13,260
13,230
14,2043
14,255
14,1678
14,288
14,423
14,230
17,1561
17,1072
17,1184
17,1020
17,1041
17,85
18,2251
18,174
18,614
18,5
18,431
18,207
19,640
19,362
19,1295
19,247
19,783
19,1091
20,1913
20,1531
20,1570
20,346
20,2382
20,2180
21,148
21,981
21,2049
21,2792
21,1152
21,2838
22,144
22,1282
22,1379
22,118
22,641
22,1416
23,307
23,374
23,1669
23,2590
23,2661
23,2330
24,217
24,751
24,1753
24,1205
24,2175
24,842
25,2237
25,701
25,1095
25,42
25,1426
25,242
26,1276
26,1160
26,516
26,2862
26,42
26,394
27,20
27,2247
27,1897
27,1859
27,2261
27,2299
28,93
28,28
28,1831
28,263
28,1306
28,765
29,944
29,1880
29,2162
29,1607
29,570
29,779
30,2023
30,924
30,2044
30,1330
30,2799
30,420
31,2109
31,859
31,1498
31,1229
31,2599
31,1343
32,252
32,142
32,12
32,2315
32,44
32,515
33,270
33,157
33,288
33,1599
33,2105
33,2114
34,2213
34,154
34,127
34,157
34,847
34,644
35,91
35,170
35,23
35,1066
35,983
35,2835
36,127
36,1929
36,584
36,1196
36,270
36,2806
37,141
37,264
37,335
37,1260
37,1402
37,176
38,2292
38,627
38,2255
38,2143
38,1631
38,2165
39,156
39,157
39,127
39,330
39,154
39,2560
40,279
40,84
40,40
40,1236
40,1554
40,634
41,82
41,142
41,280
41,1717
41,1297
41,2555
42,92
42,22
42,143
42,571
42,2004
42,2835
43,666
43,2178
43,333
43,426
43,2032
43,1827
44,19
44,129
44,351
44,560
44,2858
44,1346
45,319
45,38
45,190
45,770
45,1131
45,72
46,75
46,170
46,84
46,171
46,2142
46,386
47,66
47,202
47,93
47,572
47,2638
47,2182
48,148
48,383
48,981
48,1693
48,640
48,1436
49,263
49,348
49,248
49,377
49,727
49,1900
50,643
50,1846
50,2128
50,2873
50,53
50,2840
51,248
51,92
51,143
51,85
51,2480
51,2806
52,273
52,40
52,34
52,2141
52,2551
52,2088
53,2264
53,2141
53,1789
53,651
53,2152
53,538
54,167
54,68
54,365
54,47
54,468
54,876
55,163
55,42
55,341
55,801
55,2669
55,1463
56,58
56,29
56,20
56,1582
56,655
56,2591
57,216
57,247
57,274
57,1492
57,2470
57,661
59,86
59,26
59,374
59,2801
59,2887
59,2769
60,90
60,2
60,266
60,1215
60,1707
60,843
61,2
61,48
61,288
61,2664
61,1570
61,872
62,93
62,263
62,201
62,2025
62,2815
62,1069
63,59
63,127
63,268
63,2806
63,249
63,2789
64,340
64,40
64,299
64,2833
64,1131
64,509
65,56
65,69
65,279
65,1651
65,395
65,1003
66,76
66,145
66,77
66,340
66,2307
66,1417
67,20
67,72
67,266
67,2274
67,848
67,353
68,83
68,194
68,147
68,1322
68,2570
68,2354
69,32
69,22
69,310
69,1334
69,1607
69,97
70,2
70,54
70,90
70,1559
70,2839
70,1174
71,227
71,35
71,331
71,6
71,1274
71,863
72,356
72,182
72,172
72,97
72,1607
72,570
73,104
73,18
73,266
73,2855
73,174
73,439
74,27
74,359
74,54
74,2375
74,2797
74,589
75,4
75,266
75,27
75,1506
75,1724
75,2443
77,392
77,266
77,172
77,646
77,2810
77,122
78,162
78,267
78,78
78,210
78,488
78,2264
79,42
79,19
79,68
79,2858
79,39
79,515
80,280
80,198
80,258
80,614
80,1072
80,1561
81,227
81,323
81,331
81,437
81,863
81,1223
82,144
82,241
82,32
82,427
82,1571
82,606
83,340
83,77
83,145
83,1102
83,2539
83,11
84,69
84,324
84,147
84,573
84,2088
84,2471
85,126
85,76
85,145
85,280
85,1959
85,2014
86,222
86,119
86,1
86,1073
86,688
86,1797
87,117
87,109
87,218
87,849
87,1001
87,2849
88,116
88,125
88,229
88,1794
88,2045
88,2817
89,286
89,246
89,218
89,2033
89,883
89,1526
90,74
90,359
90,174
90,2855
90,2128
90,1072
91,319
91,118
91,362
91,619
91,566
91,1695
92,148
92,2281
92,2049
92,981
92,413
92,114
95,234
95,308
95,71
95,86
95,673
95,676
96,86
96,94
96,22
96,2011
96,1327
96,2643
97,108
97,87
97,99
97,22
97,426
97,2855
99,319
99,118
99,216
99,770
99,19
99,1574
103,123
103,36
103,33
103,2797
103,2092
103,1854
104,266
104,43
104,172
104,646
104,372
104,2039
105,36
105,121
105,213
105,1865
105,1429
105,1892
106,184
106,236
106,320
106,2798
106,2015
106,2495
107,206
107,77
107,145
107,973
107,1373
107,2389
108,147
108,245
108,131
108,139
108,826
108,766
109,192
109,243
109,91
109,2784
109,1
109,2339
110,185
110,270
110,91
110,2560
110,154
110,151
111,129
111,245
111,224
111,65
111,685
111,872
112,234
112,191
112,208
112,677
112,1074
112,1216
114,121
114,167
114,39
114,1999
114,2515
114,2008
116,245
116,129
116,131
116,766
116,410
116,1581
117,494
117,270
117,157
117,620
117,92
117,974
118,499
118,89
118,4
118,264
118,335
118,2853
119,69
119,269
119,358
119,1995
119,145
119,390
120,1103
120,1274
120,2342
120,744
120,1845
120,2343
121,316
121,32
121,14
121,900
121,1118
121,843
122,92
122,67
122,29
122,540
122,836
122,818
123,361
123,162
123,144
123,996
123,936
123,1432
124,374
124,87
124,22
124,2000
124,2792
124,1508
125,331
125,35
125,40
125,1187
125,2052
125,1882
126,204
126,201
126,21
126,1652
126,2046
126,1421
127,152
127,157
127,159
127,154
127,2462
127,2560
128,91
128,159
128,270
128,2560
128,127
128,2213
130,127
130,185
130,156
130,151
130,2560
130,2462
131,153
131,66
131,558
131,2113
131,1930
131,151
132,386
132,330
132,204
132,652
132,59
132,2462
133,270
133,127
133,75
133,91
133,644
133,2213
136,205
136,171
136,56
136,403
136,55
136,2694
137,142
137,195
137,171
137,819
137,1251
137,1148
138,69
138,194
138,148
138,2022
138,2158
138,2709
139,152
139,157
139,151
139,2560
139,1929
139,127
140,267
140,32
140,1164
140,345
140,343
140,830
141,163
141,276
141,69
141,2595
141,1670
141,2028
142,68
142,29
142,140
142,1948
142,1342
142,2779
143,386
143,84
143,170
143,1999
143,2008
143,2374
144,323
144,315
144,69
144,340
144,11
144,607
145,2
145,845
145,7
145,427
145,1571
145,2043
146,163
146,68
146,42
146,1280
146,2491
146,2230
147,4
147,5
147,264
147,379
147,492
147,1402
148,141
148,4
148,264
148,551
148,2550
148,876
151,195
151,146
151,147
151,2781
151,2825
151,355
152,396
152,172
152,414
152,2801
152,436
152,489
153,19
153,372
153,79
153,495
153,964
153,439
154,236
154,78
154,163
154,1251
154,2244
154,1148
155,156
155,157
155,127
155,2065
155,2522
155,644
156,441
156,1894
156,1494
156,1830
156,2786
156,1178
157,130
157,308
157,234
157,570
157,1607
157,97
158,63
158,72
158,216
158,871
158,1390
158,1329
159,147
159,35
159,227
159,331
159,1322
159,2570
160,193
160,128
160,74
160,2339
160,1380
160,2331
161,192
161,128
161,74
161,1394
161,862
161,940
162,58
162,163
162,68
162,2441
162,2177
162,529
163,280
163,165
163,18
163,2014
163,571
163,2170
164,258
164,18
164,321
164,909
164,232
164,2518
165,50
165,27
165,396
165,2810
165,372
165,207
166,35
166,253
166,47
166,251
166,371
166,670
167,192
167,193
167,128
167,940
167,1394
167,862
168,78
168,310
168,327
168,1811
168,1862
168,2206
169,68
169,163
169,209
169,2217
169,2584
169,2744
170,73
170,349
170,144
170,2516
170,1603
170,2222
171,66
171,233
171,70
171,228
171,588
171,815
172,53
172,217
172,250
172,2788
172,2732
172,2284
173,148
173,87
173,70
173,1516
173,41
173,2716
174,83
174,77
174,76
174,1995
174,116
174,390
175,197
175,250
175,170
175,1479
175,1650
175,374
176,77
176,343
176,40
176,833
176,1149
176,830
177,372
177,266
177,31
177,2493
177,431
177,646
180,53
180,208
180,391
180,1649
180,2328
180,1732
181,204
181,209
181,391
181,2580
181,2847
181,2516
182,7
182,129
182,131
182,1994
182,2795
182,1535
183,32
183,78
183,22
183,2517
183,129
183,2828
184,181
184,105
184,118
184,1315
184,97
184,889
185,213
185,63
185,216
185,1077
185,1174
185,1620
186,53
186,243
186,36
186,1429
186,1886
186,1966
187,182
187,250
187,50
187,1410
187,2743
187,489
188,263
188,258
188,198
188,1822
188,416
188,1140
189,274
189,1119
189,1037
189,1897
189,936
189,996
191,4
191,141
191,239
191,1280
191,344
191,2197
192,49
192,31
192,359
192,231
192,1433
192,2797
195,156
195,185
195,155
195,2152
195,1285
195,1773
196,1402
196,4
196,1695
196,2804
196,176
196,1280
198,41
198,266
198,237
198,1007
198,909
198,2186
199,193
199,280
199,259
199,863
199,6
199,437
200,288
200,19
200,38
200,2043
200,872
200,65
201,184
201,236
201,189
201,2817
201,1186
201,1308
202,13
202,49
202,31
202,2183
202,2797
202,219
203,66
203,202
203,232
203,1090
203,2775
203,2616
204,130
204,91
204,341
204,2643
204,2011
204,647
205,156
205,59
205,233
205,154
205,2881
205,2462
206,104
206,49
206,359
206,1854
206,2797
206,2092
207,184
207,320
207,125
207,2244
207,1671
207,2077
208,66
208,90
208,199
208,442
208,1505
208,2792
210,400
210,32
210,267
210,1588
210,296
210,1907
211,4
211,178
211,404
211,2650
211,344
211,221
212,144
212,14
212,356
212,158
212,2345
212,1912
213,47
213,253
213,98
213,1139
213,1426
213,900
214,128
214,192
214,74
214,2331
214,2441
214,2784
215,129
215,131
215,361
215,1618
215,2623
215,996
217,63
217,216
217,274
217,1492
217,37
217,1938
218,85
218,268
218,156
218,1711
218,2565
218,2445
219,204
219,182
219,396
219,2801
219,1318
219,453
220,253
220,326
220,371
220,2396
220,2654
220,1853
221,251
221,326
221,371
221,2396
221,1853
221,2654
223,288
223,79
223,59
223,41
223,1418
223,2728
224,214
224,198
224,18
224,1247
224,971
224,475
225,499
225,331
225,261
225,1641
225,1819
225,2793
226,162
226,267
226,24
226,65
226,230
226,792
227,259
227,258
227,162
227,2548
227,2787
227,1101
228,92
228,75
228,279
228,2687
228,916
