main_speaker,speaker_occupation
Ken Robinson,Author/educator
Al Gore,Climate advocate
David Pogue,Technology columnist
Majora Carter,Activist for environmental justice
Hans Rosling,Global health expert
Hans Rosling, data visionary
Tony Robbins,Life coach
Tony Robbins, expert in leadership psychology
Julia Sweeney,Actor
Julia Sweeney, comedian
Julia Sweeney, playwright
Joshua Prince-Ramus,Architect
Dan Dennett,Philosopher
Dan Dennett, cognitive scientist
Rick Warren,Pastor
Rick Warren, author
Cameron Sinclair,Co-founder
Cameron Sinclair, Architecture for Humanity
Jehane Noujaim,Filmmaker
Larry Brilliant,Epidemiologist
Larry Brilliant, philanthropist
Jeff Han,Human-computer interface designer
Nicholas Negroponte,Tech visionary
Amy Smith,inventor
Amy Smith, engineer
Ross Lovegrove,Industrial designer
Jimmy Wales,Founder of Wikipedia
Richard Baraniuk,Education visionary
Ze Frank,Humorist
Ze Frank, web artist
Mena Trott,Blogger
Mena Trott, cofounder
Mena Trott, Six Apart
Helen Fisher,Anthropologist
Helen Fisher, expert on love
Eve Ensler,Playwright
Eve Ensler, activist
David Deutsch,Quantum physicist
Richard Dawkins,Evolutionary biologist
Steven Levitt,Economist
Malcolm Gladwell,Writer
Dan Gilbert,Psychologist
Dan Gilbert, happiness expert
Barry Schwartz,Psychologist
Eva Vertes,Neuroscience and cancer researcher
Aubrey de Grey,Crusader against aging
Iqbal Quadir,Founder
Iqbal Quadir, GrameenPhone
Jacqueline Novogratz,Investor and advocate for moral leadership
Sasa Vucinic,Nonprofit venture capitalist
Ashraf Ghani,President-elect of Afghanistan
Burt Rutan,Aircraft engineer
Ben Saunders,Arctic explorer
Bono,Musician
Bono, activist
Edward Burtynsky,Photographer
Robert Fischell,Biomedical inventor
Peter Donnelly,Mathematician
Peter Donnelly, statistician
Michael Shermer,Skeptic
Ray Kurzweil,Inventor
Ray Kurzweil, futurist
Kevin Kelly,Digital visionary
Peter Gabriel,Musician
Peter Gabriel, activist
Richard St. John,Marketer
Richard St. John, success analyst
Rives,Performance poet
Rives, multimedia artist
Dean Ornish,Physician
Dean Ornish, author
Robert Neuwirth,Author
Bjorn Lomborg,Global prioritizer
Wade Davis,Anthropologist
Wade Davis, ethnobotanist
Phil Borges,Photographer
Martin Rees,Astrophysicist
Robert Wright,Journalist
Robert Wright, philosopher
Steven Johnson,Writer
Charles Leadbeater,Innovation consultant
Anna Deavere Smith,Actor
Anna Deavere Smith, playwright
Anna Deavere Smith, social critic
Saul Griffith,Inventor
Neil Gershenfeld,Physicist
Neil Gershenfeld, personal fab pioneer
Carl HonorÌ©,Journalist
Bill Clinton,Activist
E.O. Wilson,Biologist
James Nachtwey,Photojournalist
Jane Goodall,Primatologist
Jane Goodall, environmentalist
Seth Godin,Marketer and author
James Watson,Biologist
James Watson, Nobel laureate
Al Seckel,Master of visual illusions
Dean Kamen,Inventor
Juan Enriquez,Futurist
Stefan Sagmeister,Graphic designer
Alex Steffen,Planetary futurist
Thom Mayne,Architect
