talk_id,WC,comment_num,duration,talk_event,film_date,main_speaker,published_date,view_count
0,3119,4553,1164,TED2006,2006-02-25,Ken Robinson,2006-06-27,47227110
1,723,265,977,TED2006,2006-02-25,Al Gore,2006-06-27,3200520
2,3253,124,1286,TED2006,2006-02-24,David Pogue,2006-06-27,1636292
3,3087,200,1116,TED2006,2006-02-26,Majora Carter,2006-06-27,1697550
4,3163,593,1190,TED2006,2006-02-22,Hans Rosling,2006-06-27,12005869
5,4270,672,1305,TED2006,2006-02-02,Tony Robbins,2006-06-27,20685401
6,2940,919,992,TED2006,2006-02-24,Julia Sweeney,2006-07-10,3769987
7,3293,46,1198,TED2006,2006-02-23,Joshua Prince-Ramus,2006-07-10,967741
8,3577,852,1485,TED2006,2006-02-02,Dan Dennett,2006-07-18,2567958
9,3438,900,1262,TED2006,2006-02-25,Rick Warren,2006-07-18,3095993
10,2828,79,1414,TED2006,2006-02-26,Cameron Sinclair,2006-07-25,1211416
11,3363,55,1538,TED2006,2006-02-26,Jehane Noujaim,2006-07-25,387877
12,3180,71,1550,TED2006,2006-02-23,Larry Brilliant,2006-07-25,693341
13,1499,242,527,TED2006,2006-02-06,Jeff Han,2006-08-01,4531020
14,2783,99,1057,TED2006,2006-02-23,Nicholas Negroponte,2006-08-01,358304
17,2325,88,906,TED2006,2006-02-24,Amy Smith,2006-08-15,1415724
18,3320,163,1170,TED2005,2005-02-25,Ross Lovegrove,2006-08-15,1074081
19,3810,84,1201,TEDGlobal 2005,2005-07-14,Jimmy Wales,2006-08-21,1106561
20,3120,108,1114,TED2006,2006-02-23,Richard Baraniuk,2006-08-21,966439
21,2263,185,1136,TED2004,2004-02-24,Ze Frank,2006-08-25,6141440
22,3032,50,1006,TED2006,2006-02-23,Mena Trott,2006-08-25,518624
23,3694,556,1407,TED2006,2006-02-24,Helen Fisher,2006-09-06,9260764
24,3627,117,1225,TED2004,2004-02-04,Eve Ensler,2006-09-06,1131864
25,2696,184,1140,TEDGlobal 2005,2005-07-14,David Deutsch,2006-09-12,1096862
26,3272,507,1316,TEDGlobal 2005,2005-07-07,Richard Dawkins,2006-09-12,2885999
27,3987,95,1275,TED2004,2004-02-27,Steven Levitt,2006-09-19,2863214
28,3031,355,1050,TED2004,2004-02-26,Malcolm Gladwell,2006-09-19,7023562
29,3701,970,1276,TED2004,2004-02-02,Dan Gilbert,2006-09-26,14689301
30,3155,991,1177,TEDGlobal 2005,2005-07-15,Barry Schwartz,2006-09-26,10000702
31,2884,213,1129,TED2005,2005-02-26,Eva Vertes,2006-10-02,1030267
32,4096,612,1365,TEDGlobal 2005,2005-07-14,Aubrey de Grey,2006-10-02,3277740
33,2331,74,952,TEDGlobal 2005,2005-07-13,Iqbal Quadir,2006-10-10,503517
34,2277,58,773,TEDGlobal 2005,2005-07-01,Jacqueline Novogratz,2006-10-10,705389
35,2705,43,1080,TEDGlobal 2005,2005-07-14,Sasa Vucinic,2006-10-18,580891
36,1227,67,1125,TEDGlobal 2005,2005-07-12,Ashraf Ghani,2006-10-18,809226
37,3029,186,1177,TED2006,2006-02-24,Burt Rutan,2006-10-25,2028451
38,3594,57,1083,TED2005,2005-02-24,Ben Saunders,2006-10-25,745231
39,3553,112,1672,TED2005,2005-02-24,Bono,2006-10-31,718649
40,5800,58,2065,TED2005,2005-02-17,Edward Burtynsky,2006-10-31,975107
41,4305,33,1609,TED2005,2005-02-24,Robert Fischell,2006-10-31,382996
42,4079,105,1280,TEDGlobal 2005,2005-07-14,Peter Donnelly,2006-11-08,1053758
43,2166,494,805,TED2006,2006-02-23,Michael Shermer,2006-11-08,5364639
44,3996,233,1376,TED2005,2005-02-24,Ray Kurzweil,2006-11-14,2434344
45,3312,149,1200,TED2005,2005-02-24,Kevin Kelly,2006-11-14,1536873
46,1733,52,848,TED2006,2006-02-23,Peter Gabriel,2006-12-06,904215
47,542,578,210,TED2005,2005-02-23,Richard St. John,2006-12-14,10841210
48,594,95,247,TEDSalon 2006,2006-11-30,Rives,2006-12-14,1813665
49,608,199,198,TED2006,2006-02-23,Dean Ornish,2006-12-14,2299265
50,2274,85,843,TEDGlobal 2005,2005-07-14,Robert Neuwirth,2007-01-02,673036
51,3459,499,1001,TED2005,2005-02-02,Bjorn Lomborg,2007-01-02,1391142
52,4099,371,1321,TED2003,2003-02-03,Wade Davis,2007-01-09,2532851
53,2302,59,1115,TED2006,2006-02-23,Phil Borges,2007-01-09,882034
54,2625,203,1046,TEDGlobal 2005,2005-07-14,Martin Rees,2007-01-17,2121177
55,3147,130,1151,TED2006,2006-02-02,Robert Wright,2007-01-17,1090180
56,1826,47,603,TEDSalon 2006,2006-11-30,Steven Johnson,2007-01-31,684519
57,3061,91,1141,TEDGlobal 2005,2005-07-14,Charles Leadbeater,2007-01-31,1409327
59,3686,111,1385,TED2005,2005-02-25,Anna Deavere Smith,2007-02-09,978825
60,2676,28,869,TED2006,2006-02-23,Saul Griffith,2007-02-19,442553
61,3197,64,1038,TED2006,2006-02-02,Neil Gershenfeld,2007-02-19,691814
62,3815,226,1155,TEDGlobal 2005,2005-07-07,Carl HonorÌ©,2007-02-28,2441805
63,3550,97,1447,TED2007,2007-03-08,Bill Clinton,2007-04-03,849859
64,2315,89,1355,TED2007,2007-03-08,E.O. Wilson,2007-04-03,1335732
65,3001,107,1316,TED2007,2007-03-08,James Nachtwey,2007-04-03,1262674
66,4273,161,1645,TED2002,2002-03-01,Jane Goodall,2007-04-05,1663001
67,3047,220,1021,TED2003,2003-02-27,Seth Godin,2007-04-05,5570544
68,3107,114,1211,TED2005,2005-02-02,James Watson,2007-04-05,1520908
69,1695,88,873,TED2004,2004-02-26,Al Seckel,2007-04-05,2138907
70,3268,130,1207,TED2002,2002-02-02,Dean Kamen,2007-04-05,680134
71,3817,49,1340,TED2003,2003-02-02,Juan Enriquez,2007-04-05,690928
72,1890,86,930,TED2004,2004-02-02,Stefan Sagmeister,2007-04-05,1762302
73,3351,107,1054,TEDGlobal 2005,2005-07-07,Alex Steffen,2007-04-05,1392010
74,3540,50,1240,TED2005,2005-02-25,Thom Mayne,2007-04-05,660909
75,3720,78,1204,TED2002,2002-02-02,Chris Bangle,2007-04-05,867495
77,2483,27,850,TEDGlobal 2005,2005-07-14,Paul Bennett,2007-04-05,761930
78,2318,84,891,TED2003,2003-02-27,Vik Muniz,2007-04-05,1149090
79,2628,131,1012,TEDGlobal 2005,2005-07-14,Nick Bostrom,2007-04-05,762264
80,2893,127,1399,TED2005,2005-02-24,Janine Benyus,2007-04-05,1920434
81,2506,34,1011,TEDGlobal 2005,2005-02-24,Craig Venter,2007-04-05,560904
82,422,47,893,TED2004,2004-02-27,Golan Levin,2007-04-05,606311
83,1917,335,1045,TED2004,2004-02-02,Susan Savage-Rumbaugh,2007-04-05,2197377
84,1109,143,977,TED2005,2005-02-02,Frans Lanting,2007-04-05,1697185
85,2953,57,985,TED2004,2004-02-25,Sheila Patek,2007-04-05,1115081
86,165,39,163,TED2006,2006-02-26,Jill Sobule,2007-04-06,591379
